description,year,value
CPIH WEIGHTS 09.2 : OTHER MAJOR DURABLES FOR RECREATION AND CULTURE,2024,6.9391
CPIH WEIGHTS 09.2 : OTHER MAJOR DURABLES FOR RECREATION AND CULTURE,2025,6.5593
CPIH WEIGHTS 09.2 : OTHER MAJOR DURABLES FOR RECREATION AND CULTURE,2026,6.4697
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,1996,2.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,1997,2.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,1998,2.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,1999,2.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2000,4.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2001,3.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2002,4.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2003,4.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2004,3.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2005,3.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2006,3.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2007,3.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2008,3.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2009,3.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2010,3.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2011,2.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2012,3.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2013,3.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2014,3.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2015,3.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2016,2.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2017,3.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2018,2.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2019,2.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2020,3.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2021,4.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2022,7.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2023,8.0000
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2024,6.7800
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2025,7.1688
CPIH WEIGHTS 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION,2026,6.4353
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",1988,16.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",1989,16.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",1990,16.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",1991,18.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",1992,17.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",1993,17.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",1994,16.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",1995,18.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",1996,16.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",1997,16.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",1998,15.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",1999,15.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2000,20.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2001,20.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2002,17.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2003,16.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2004,15.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2005,14.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2006,14.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2007,14.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2008,13.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2009,14.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2010,13.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2011,12.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2012,11.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2013,11.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2014,11.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2015,11.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2016,11.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2017,9.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2018,9.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2019,10.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2020,9.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2021,9.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2022,10.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2023,10.0000
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2024,10.6851
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2025,9.0389
"CPIH WEIGHTS 09.5 : Books, newspapers and stationery",2026,8.7404
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,1988,10.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,1989,9.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,1990,10.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,1991,10.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,1992,10.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,1993,9.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,1994,9.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,1995,9.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,1996,7.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,1997,7.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,1998,6.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,1999,6.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2000,8.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2001,8.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2002,8.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2003,7.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2004,7.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2005,8.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2006,8.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2007,8.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2008,8.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2009,9.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2010,9.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2011,8.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2012,10.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2013,10.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2014,11.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2015,12.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2016,12.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2017,11.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2018,12.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2019,15.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2020,11.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2021,11.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2022,8.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2023,9.0000
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2024,8.1136
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2025,9.6581
CPIH WEIGHTS 12.3 : PERSONAL EFFECTS N.E.C.,2026,9.1093
CPIH WEIGHTS 06 : HEALTH,1988,4.0000
CPIH WEIGHTS 06 : HEALTH,1989,5.0000
CPIH WEIGHTS 06 : HEALTH,1990,5.0000
CPIH WEIGHTS 06 : HEALTH,1991,5.0000
CPIH WEIGHTS 06 : HEALTH,1992,6.0000
CPIH WEIGHTS 06 : HEALTH,1993,6.0000
CPIH WEIGHTS 06 : HEALTH,1994,7.0000
CPIH WEIGHTS 06 : HEALTH,1995,5.0000
CPIH WEIGHTS 06 : HEALTH,1996,5.0000
CPIH WEIGHTS 06 : HEALTH,1997,6.0000
CPIH WEIGHTS 06 : HEALTH,1998,6.0000
CPIH WEIGHTS 06 : HEALTH,1999,7.0000
CPIH WEIGHTS 06 : HEALTH,2000,11.0000
CPIH WEIGHTS 06 : HEALTH,2001,20.0000
CPIH WEIGHTS 06 : HEALTH,2002,19.0000
CPIH WEIGHTS 06 : HEALTH,2003,18.0000
CPIH WEIGHTS 06 : HEALTH,2004,18.0000
CPIH WEIGHTS 06 : HEALTH,2005,18.0000
CPIH WEIGHTS 06 : HEALTH,2006,20.0000
CPIH WEIGHTS 06 : HEALTH,2007,19.0000
CPIH WEIGHTS 06 : HEALTH,2008,19.0000
CPIH WEIGHTS 06 : HEALTH,2009,17.0000
CPIH WEIGHTS 06 : HEALTH,2010,17.0000
CPIH WEIGHTS 06 : HEALTH,2011,19.0000
CPIH WEIGHTS 06 : HEALTH,2012,19.0000
CPIH WEIGHTS 06 : HEALTH,2013,20.0000
CPIH WEIGHTS 06 : HEALTH,2014,19.0000
CPIH WEIGHTS 06 : HEALTH,2015,20.0000
CPIH WEIGHTS 06 : HEALTH,2016,22.0000
CPIH WEIGHTS 06 : HEALTH,2017,21.0000
CPIH WEIGHTS 06 : HEALTH,2018,21.0000
CPIH WEIGHTS 06 : HEALTH,2019,22.0000
CPIH WEIGHTS 06 : HEALTH,2020,22.0000
CPIH WEIGHTS 06 : HEALTH,2021,20.0000
CPIH WEIGHTS 06 : HEALTH,2022,18.0000
CPIH WEIGHTS 06 : HEALTH,2023,18.0000
CPIH WEIGHTS 06 : HEALTH,2024,21.1564
CPIH WEIGHTS 06 : HEALTH,2025,22.7461
CPIH WEIGHTS 06 : HEALTH,2026,20.2516
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,1988,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,1989,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,1990,5.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,1991,5.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,1992,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,1993,5.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,1994,4.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,1995,5.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,1996,4.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,1997,4.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,1998,5.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,1999,5.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2000,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2001,5.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2002,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2003,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2004,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2005,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2006,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2007,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2008,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2009,7.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2010,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2011,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2012,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2013,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2014,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2015,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2016,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2017,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2018,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2019,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2020,6.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2021,4.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2022,4.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2023,5.0000
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2024,5.1284
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2025,5.5636
CPIH WEIGHTS 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABLISHMENTS,2026,6.0195
CPIH WEIGHTS 10 : EDUCATION,1988,7.0000
CPIH WEIGHTS 10 : EDUCATION,1989,7.0000
CPIH WEIGHTS 10 : EDUCATION,1990,8.0000
CPIH WEIGHTS 10 : EDUCATION,1991,7.0000
CPIH WEIGHTS 10 : EDUCATION,1992,7.0000
CPIH WEIGHTS 10 : EDUCATION,1993,7.0000
CPIH WEIGHTS 10 : EDUCATION,1994,8.0000
CPIH WEIGHTS 10 : EDUCATION,1995,5.0000
CPIH WEIGHTS 10 : EDUCATION,1996,9.0000
CPIH WEIGHTS 10 : EDUCATION,1997,9.0000
CPIH WEIGHTS 10 : EDUCATION,1998,11.0000
CPIH WEIGHTS 10 : EDUCATION,1999,8.0000
CPIH WEIGHTS 10 : EDUCATION,2000,10.0000
CPIH WEIGHTS 10 : EDUCATION,2001,10.0000
CPIH WEIGHTS 10 : EDUCATION,2002,13.0000
CPIH WEIGHTS 10 : EDUCATION,2003,16.0000
CPIH WEIGHTS 10 : EDUCATION,2004,13.0000
CPIH WEIGHTS 10 : EDUCATION,2005,13.0000
CPIH WEIGHTS 10 : EDUCATION,2006,13.0000
CPIH WEIGHTS 10 : EDUCATION,2007,14.0000
CPIH WEIGHTS 10 : EDUCATION,2008,15.0000
CPIH WEIGHTS 10 : EDUCATION,2009,17.0000
CPIH WEIGHTS 10 : EDUCATION,2010,15.0000
CPIH WEIGHTS 10 : EDUCATION,2011,15.0000
CPIH WEIGHTS 10 : EDUCATION,2012,15.0000
CPIH WEIGHTS 10 : EDUCATION,2013,17.0000
CPIH WEIGHTS 10 : EDUCATION,2014,18.0000
CPIH WEIGHTS 10 : EDUCATION,2015,21.0000
CPIH WEIGHTS 10 : EDUCATION,2016,20.0000
CPIH WEIGHTS 10 : EDUCATION,2017,17.0000
CPIH WEIGHTS 10 : EDUCATION,2018,18.0000
CPIH WEIGHTS 10 : EDUCATION,2019,18.0000
CPIH WEIGHTS 10 : EDUCATION,2020,24.0000
CPIH WEIGHTS 10 : EDUCATION,2021,30.0000
CPIH WEIGHTS 10 : EDUCATION,2022,26.0000
CPIH WEIGHTS 10 : EDUCATION,2023,23.0000
CPIH WEIGHTS 10 : EDUCATION,2024,23.9796
CPIH WEIGHTS 10 : EDUCATION,2025,25.4958
CPIH WEIGHTS 10 : EDUCATION,2026,26.9547
CPIH WEIGHTS 12.4.0.2 Retirement homes for elderly & residences for disabled,2015,3.8400
CPIH WEIGHTS 12.4.0.2 Retirement homes for elderly & residences for disabled,2016,3.5100
CPIH WEIGHTS 12.4.0.2 Retirement homes for elderly & residences for disabled,2017,3.6400
CPIH WEIGHTS 12.4.0.2 Retirement homes for elderly & residences for disabled,2018,2.2400
CPIH WEIGHTS 12.4.0.2 Retirement homes for elderly & residences for disabled,2019,2.0800
CPIH WEIGHTS 12.4.0.2 Retirement homes for elderly & residences for disabled,2020,1.5300
CPIH WEIGHTS 12.4.0.2 Retirement homes for elderly & residences for disabled,2021,0.9500
CPIH WEIGHTS 12.4.0.2 Retirement homes for elderly & residences for disabled,2022,0.2600
CPIH WEIGHTS 12.4.0.2 Retirement homes for elderly & residences for disabled,2023,0.1400
CPIH WEIGHTS 12.4.0.2 Retirement homes for elderly & residences for disabled,2024,0.0517
CPIH WEIGHTS 12.4.0.2 Retirement homes for elderly & residences for disabled,2025,0.3796
CPIH WEIGHTS 12.4.0.2 Retirement homes for elderly & residences for disabled,2026,0.3880
CPIH WEIGHTS 12.4.0.3 Services to maintain people in their private homes,2015,1.8000
CPIH WEIGHTS 12.4.0.3 Services to maintain people in their private homes,2016,2.0800
CPIH WEIGHTS 12.4.0.3 Services to maintain people in their private homes,2017,1.9500
CPIH WEIGHTS 12.4.0.3 Services to maintain people in their private homes,2018,2.5200
CPIH WEIGHTS 12.4.0.3 Services to maintain people in their private homes,2019,2.3400
CPIH WEIGHTS 12.4.0.3 Services to maintain people in their private homes,2020,3.4000
CPIH WEIGHTS 12.4.0.3 Services to maintain people in their private homes,2021,3.9900
CPIH WEIGHTS 12.4.0.3 Services to maintain people in their private homes,2022,1.8200
CPIH WEIGHTS 12.4.0.3 Services to maintain people in their private homes,2023,1.4000
CPIH WEIGHTS 12.4.0.3 Services to maintain people in their private homes,2024,2.7669
CPIH WEIGHTS 12.4.0.3 Services to maintain people in their private homes,2025,1.7972
CPIH WEIGHTS 12.4.0.3 Services to maintain people in their private homes,2026,3.1371
CPIH WEIGHTS 12.4.0.1 Child care services,2015,6.3600
CPIH WEIGHTS 12.4.0.1 Child care services,2016,7.4100
CPIH WEIGHTS 12.4.0.1 Child care services,2017,7.4100
CPIH WEIGHTS 12.4.0.1 Child care services,2018,9.2400
CPIH WEIGHTS 12.4.0.1 Child care services,2019,8.5800
CPIH WEIGHTS 12.4.0.1 Child care services,2020,12.0700
CPIH WEIGHTS 12.4.0.1 Child care services,2021,14.0600
CPIH WEIGHTS 12.4.0.1 Child care services,2022,10.9200
CPIH WEIGHTS 12.4.0.1 Child care services,2023,5.4600
CPIH WEIGHTS 12.4.0.1 Child care services,2024,8.3037
CPIH WEIGHTS 12.4.0.1 Child care services,2025,10.4386
CPIH WEIGHTS 12.4.0.1 Child care services,2026,8.3139
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,1988,66.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,1989,67.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,1990,66.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,1991,60.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,1992,54.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,1993,52.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,1994,53.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,1995,48.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,1996,52.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,1997,53.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,1998,53.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,1999,53.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2000,56.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2001,54.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2002,48.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2003,49.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2004,48.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2005,50.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2006,51.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2007,49.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2008,50.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2009,45.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2010,45.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2011,51.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2012,53.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2013,56.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2014,57.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2015,57.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2016,58.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2017,58.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2018,57.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2019,54.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2020,51.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2021,59.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2022,49.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2023,48.0000
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2024,47.3053
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2025,48.1242
CPIH WEIGHTS 03 : CLOTHING AND FOOTWEAR,2026,46.1791
CPIH WEIGHTS 12.5 : INSURANCE,1988,4.0000
CPIH WEIGHTS 12.5 : INSURANCE,1989,5.0000
CPIH WEIGHTS 12.5 : INSURANCE,1990,4.0000
CPIH WEIGHTS 12.5 : INSURANCE,1991,3.0000
CPIH WEIGHTS 12.5 : INSURANCE,1992,4.0000
CPIH WEIGHTS 12.5 : INSURANCE,1993,6.0000
CPIH WEIGHTS 12.5 : INSURANCE,1994,6.0000
CPIH WEIGHTS 12.5 : INSURANCE,1995,6.0000
CPIH WEIGHTS 12.5 : INSURANCE,1996,5.0000
CPIH WEIGHTS 12.5 : INSURANCE,1997,5.0000
CPIH WEIGHTS 12.5 : INSURANCE,1998,4.0000
CPIH WEIGHTS 12.5 : INSURANCE,1999,4.0000
CPIH WEIGHTS 12.5 : INSURANCE,2000,6.0000
CPIH WEIGHTS 12.5 : INSURANCE,2001,6.0000
CPIH WEIGHTS 12.5 : INSURANCE,2002,5.0000
CPIH WEIGHTS 12.5 : INSURANCE,2003,5.0000
CPIH WEIGHTS 12.5 : INSURANCE,2004,5.0000
CPIH WEIGHTS 12.5 : INSURANCE,2005,7.0000
CPIH WEIGHTS 12.5 : INSURANCE,2006,7.0000
CPIH WEIGHTS 12.5 : INSURANCE,2007,6.0000
CPIH WEIGHTS 12.5 : INSURANCE,2008,6.0000
CPIH WEIGHTS 12.5 : INSURANCE,2009,6.0000
CPIH WEIGHTS 12.5 : INSURANCE,2010,7.0000
CPIH WEIGHTS 12.5 : INSURANCE,2011,7.0000
CPIH WEIGHTS 12.5 : INSURANCE,2012,7.0000
CPIH WEIGHTS 12.5 : INSURANCE,2013,7.0000
CPIH WEIGHTS 12.5 : INSURANCE,2014,7.0000
